"MESH","I","PL","S","INDEX"
"5138774031",4.507,0.00,0.00,-2
"5138774034",4.519,-1.00,-1.00,-2
"5138774043",4.531,-1.00,-1.00,-2
"5138775022",4.541,-1.00,-1.00,-2
"5138765424",4.327,-1.00,-1.00,-2
"5138775131",4.555,0.00,0.00,-2
"5138775044",4.653,0.00,0.00,-2
"5138775133",4.549,0.00,0.00,-2
"5138775144",4.581,0.00,0.00,-2
"5138776022",4.655,0.00,0.00,-2
"5138776111",4.566,0.00,0.00,-2
"5138776112",4.585,0.00,0.00,-2
"5138776024",4.658,0.00,0.00,-2
"5138776113",4.537,0.00,0.00,-2
"5138776114",4.579,0.00,0.00,-2
"5138776123",4.572,0.00,0.00,-2
"5138776041",4.601,0.00,0.00,-2
"5138776042",4.523,0.00,0.00,-2
"5138776131",4.682,0.00,0.00,-2
"5138776132",4.722,-1.00,-1.00,-2
"5138776331",4.617,-1.00,-1.00,-2
"5138766244",4.650,0.00,0.00,-2
"5138776043",4.661,0.00,0.00,-2
"5138776044",4.619,0.00,0.00,-2
"5138776333",4.616,0.00,0.00,-2
"5138767222",4.328,-1.00,-1.00,-2
"5138767912",4.324,-1.00,-1.00,-2
"5138767921",4.404,-1.00,-1.00,-2
"5138777021",4.666,0.00,0.00,-2
"5138777022",4.622,0.00,0.00,-2
"5138777222",4.484,-1.00,-1.00,-2
"5138767613",4.282,-1.00,-1.00,-2
"5138767924",4.457,-1.00,-1.00,-2
"5138777013",4.450,-1.00,-1.00,-2
"5138777023",4.671,0.00,0.00,-2
"5138777024",4.625,0.00,0.00,-2
"5138767632",4.283,-1.00,-1.00,-2
"5138767732",4.351,-1.00,-1.00,-2
"5138767741",4.380,-1.00,-1.00,-2
"5138767742",4.388,-1.00,-1.00,-2
"5138767831",4.560,0.00,0.00,-2
"5138767832",4.559,0.00,0.00,-2
"5138767942",4.589,0.00,0.00,-2
"5138777031",4.487,-1.00,-1.00,-2
"5138777041",4.630,0.00,0.00,-2
"5138767734",4.374,-1.00,-1.00,-2
"5138767834",4.398,-1.00,-1.00,-2
"5138767843",4.562,0.00,0.00,-2
"5138767844",4.565,0.00,0.00,-2
"5138767934",4.598,0.00,0.00,-2
"5138767943",4.610,0.00,0.00,-2
"5138767944",4.622,0.00,0.00,-2
"5138777033",4.404,-1.00,-1.00,-2
"5138777034",4.633,0.00,0.00,-2
"5138777043",4.650,0.00,0.00,-2
"5138768622",4.392,-1.00,-1.00,-2
"5138768821",4.561,0.00,0.00,-2
"5138768822",4.405,-1.00,-1.00,-2
"5138768911",4.597,0.00,0.00,-2
"5138778021",4.476,-1.00,-1.00,-2
"5138768424",4.309,-1.00,-1.00,-2
"5138768513",4.316,-1.00,-1.00,-2
"5138768514",4.297,-1.00,-1.00,-2
"5138768523",4.326,-1.00,-1.00,-2
"5138768524",4.340,-1.00,-1.00,-2
"5138768823",4.410,-1.00,-1.00,-2
"5138778023",4.488,-1.00,-1.00,-2
"5138778024",4.422,-1.00,-1.00,-2
"5138778314",4.619,0.00,0.00,-2
"5138778323",4.662,0.00,0.00,-2
"5138778714",4.759,0.00,0.00,-2
"5138768541",4.335,-1.00,-1.00,-2
"5138768841",4.437,-1.00,-1.00,-2
"5138778042",4.472,-1.00,-1.00,-2
"5138778131",4.446,-1.00,-1.00,-2
"5138778341",4.664,0.00,0.00,-2
"5138778732",4.760,0.00,0.00,-2
"5138768843",4.577,0.00,0.00,-2
"5138778133",4.452,-1.00,-1.00,-2
"5138778334",4.696,0.00,0.00,-2
"5138778433",4.672,0.00,0.00,-2
"5138778734",4.752,0.00,0.00,-2
"5138769312",4.407,-1.00,-1.00,-2
"5138779312",4.713,0.00,0.00,-2
"5138779411",4.777,0.02,0.02,-2
"5138779421",4.673,0.00,0.00,-2
"5138769823",4.478,-1.00,-1.00,-2
"5138769824",4.487,-1.00,-1.00,-2
"5138779314",4.734,0.00,0.00,-2
"5138779323",4.530,0.00,0.00,-2
"5138769841",4.447,-1.00,-1.00,-2
"5138769931",4.409,-1.00,-1.00,-2
"5138779332",4.744,0.00,0.00,-2
"5138779333",4.750,0.24,0.03,-2
"5138779643",4.821,1.32,0.05,-2
"5139624211",4.823,0.00,0.00,-2
"5139624212",4.832,0.00,0.00,-2
"5238060721",4.347,-1.00,-1.00,-2
"5238060722",4.337,-1.00,-1.00,-2
"5238060812",4.351,-1.00,-1.00,-2
"5238070221",4.455,-1.00,-1.00,-2
"5238070222",4.550,0.00,0.00,-2
"5238070311",4.767,0.31,0.03,-2
"5238070621",4.823,1.37,0.05,-2
"5238060224",4.563,0.00,0.00,-2
"5238060714",4.339,-1.00,-1.00,-2
"5238070224",4.765,0.30,0.03,-2
"5238070313",4.535,0.00,0.00,-2
"5238070623",4.826,1.45,0.05,-2
"5238060732",4.302,-1.00,-1.00,-2
"5238070242",4.509,-1.00,-1.00,-2
"5238070532",4.871,1.73,0.03,-2
"5238070541",4.860,1.19,0.02,-2
"5238070542",4.824,1.39,0.05,-2
"5238070731",4.722,-1.00,-1.00,-2
"5238060644",4.102,-1.00,-1.00,-2
"5238060834",4.328,-1.00,-1.00,-2
"5238070244",4.513,-1.00,-1.00,-2
"5238070333",4.505,-1.00,-1.00,-2
"5238070533",4.817,0.14,0.04,-2
"5238070534",4.877,2.00,0.10,-2
"5238070543",4.865,0.45,0.03,-2
"5238070544",4.847,2.03,0.13,-2
"5238070633",4.982,6.01,0.08,-2
"5238070744",4.739,0.00,0.00,-2
"5238070833",4.896,3.18,0.05,-2
"5238061211",4.669,0.00,0.00,-2
"5238061612",4.332,-1.00,-1.00,-2
"5238061621",4.135,-1.00,-1.00,-2
"5238061821",4.318,-1.00,-1.00,-2
"5238071211",4.407,-1.00,-1.00,-2
"5238071222",4.500,-1.00,-1.00,-2
"5238071312",4.450,-1.00,-1.00,-2
"5238071512",4.883,0.83,0.03,-2
